Postal Code,Date,Sentiment,Year
80016,2023-12-30,Negative,2023
80238,2023-12-30,Positive,2023
80016,2023-12-30,Neutral,2023
80002,2023-12-30,Negative,2023
80238,2023-12-30,Negative,2023
80234,2023-12-30,Positive,2023
80204,2023-12-30,Positive,2023
80238,2023-12-30,Positive,2023
80204,2023-12-30,Positive,2023
80120,2023-12-30,Positive,2023
80120,2023-12-30,Positive,2023
80211,2023-12-30,Positive,2023
80014,2023-12-30,Negative,2023
80221,2023-12-30,Negative,2023
80234,2023-12-30,Positive,2023
80014,2023-12-30,Positive,2023
80120,2023-12-30,Positive,2023
80234,2023-12-30,Negative,2023
80120,2023-12-30,Negative,2023
80238,2023-12-30,Neutral,2023
80219,2023-12-30,Positive,2023
80211,2023-12-30,Positive,2023
80204,2023-12-30,Negative,2023
80204,2023-12-30,Positive,2023
80002,2023-12-30,Positive,2023
80238,2023-12-30,Neutral,2023
80016,2023-12-30,Negative,2023
80002,2023-12-30,Negative,2023
80234,2023-12-30,Negative,2023
80221,2023-12-30,Positive,2023
80016,2023-12-30,Neutral,2023
80221,2023-12-30,Positive,2023
80120,2023-12-30,Positive,2023
80002,2023-12-30,Negative,2023
80221,2023-12-30,Positive,2023
80211,2023-12-30,Positive,2023
80219,2023-12-30,Neutral,2023
80221,2023-12-30,Positive,2023
80221,2023-12-30,Neutral,2023
80238,2023-12-30,Negative,2023
80221,2023-12-30,Positive,2023
80219,2023-12-30,Positive,2023
80238,2023-12-30,Neutral,2023
80234,2023-12-30,Positive,2023
80211,2023-12-30,Positive,2023
80016,2023-12-30,Positive,2023
80219,2023-12-30,Positive,2023
80211,2023-12-30,Positive,2023
80120,2023-12-30,Neutral,2023
80204,2023-12-30,Positive,2023
80238,2023-12-29,Negative,2023
80234,2023-12-29,Positive,2023
80002,2023-12-29,Positive,2023
80014,2023-12-29,Positive,2023
80234,2023-12-29,Positive,2023
80221,2023-12-29,Positive,2023
80219,2023-12-29,Positive,2023
80120,2023-12-29,Positive,2023
80234,2023-12-29,Negative,2023
80238,2023-12-29,Negative,2023
80211,2023-12-29,Neutral,2023
80016,2023-12-29,Positive,2023
80014,2023-12-29,Positive,2023
80016,2023-12-29,Positive,2023
80014,2023-12-29,Positive,2023
80014,2023-12-29,Neutral,2023
80014,2023-12-29,Neutral,2023
80211,2023-12-29,Positive,2023
80238,2023-12-29,Negative,2023
80204,2023-12-29,Positive,2023
80238,2023-12-29,Neutral,2023
80204,2023-12-29,Positive,2023
80221,2023-12-29,Neutral,2023
80016,2023-12-29,Positive,2023
80211,2023-12-29,Positive,2023
80014,2023-12-29,Positive,2023
80014,2023-12-29,Positive,2023
80016,2023-12-29,Positive,2023
80234,2023-12-29,Positive,2023
80238,2023-12-29,Neutral,2023
80221,2023-12-29,Positive,2023
80211,2023-12-29,Positive,2023
80211,2023-12-29,Positive,2023
80234,2023-12-29,Positive,2023
80211,2023-12-29,Positive,2023
80002,2023-12-29,Positive,2023
80211,2023-12-29,Positive,2023
80219,2023-12-29,Positive,2023
80211,2023-12-29,Positive,2023
80204,2023-12-29,Positive,2023
80014,2023-12-29,Negative,2023
80221,2023-12-29,Positive,2023
80238,2023-12-29,Positive,2023
80221,2023-12-29,Positive,2023
80016,2023-12-29,Positive,2023
80002,2023-12-29,Negative,2023
80211,2023-12-29,Positive,2023
80002,2023-12-29,Neutral,2023
80002,2023-12-29,Positive,2023
80238,2023-12-29,Positive,2023
80016,2023-12-29,Positive,2023
80234,2023-12-29,Neutral,2023
80219,2023-12-29,Negative,2023
80211,2023-12-29,Neutral,2023
80238,2023-12-29,Neutral,2023
80234,2023-12-29,Positive,2023
80211,2023-12-28,Positive,2023
80120,2023-12-28,Positive,2023
80204,2023-12-28,Positive,2023
80120,2023-12-28,Negative,2023
80120,2023-12-28,Positive,2023
80014,2023-12-28,Neutral,2023
80238,2023-12-28,Positive,2023
80120,2023-12-28,Positive,2023
80120,2023-12-28,Negative,2023
80204,2023-12-28,Positive,2023
80219,2023-12-28,Positive,2023
80002,2023-12-28,Negative,2023
80219,2023-12-28,Positive,2023
80120,2023-12-28,Negative,2023
80238,2023-12-28,Positive,2023
80234,2023-12-28,Positive,2023
80014,2023-12-28,Negative,2023
80234,2023-12-28,Positive,2023
80204,2023-12-28,Neutral,2023
80014,2023-12-28,Negative,2023
80234,2023-12-28,Positive,2023
80204,2023-12-28,Positive,2023
80204,2023-12-28,Negative,2023
80219,2023-12-28,Positive,2023
80016,2023-12-28,Positive,2023
80014,2023-12-28,Positive,2023
80120,2023-12-28,Positive,2023
80211,2023-12-28,Neutral,2023
80211,2023-12-28,Neutral,2023
80014,2023-12-28,Neutral,2023
80002,2023-12-28,Positive,2023
80120,2023-12-28,Positive,2023
80238,2023-12-28,Neutral,2023
80002,2023-12-28,Neutral,2023
80204,2023-12-28,Neutral,2023
80002,2023-12-28,Positive,2023
80234,2023-12-28,Positive,2023
80014,2023-12-28,Positive,2023
80016,2023-12-28,Negative,2023
80204,2023-12-28,Positive,2023
80238,2023-12-28,Positive,2023
80221,2023-12-28,Positive,2023
80219,2023-12-28,Neutral,2023
80204,2023-12-28,Negative,2023
80238,2023-12-28,Positive,2023
80234,2023-12-28,Positive,2023
80120,2023-12-28,Positive,2023
80238,2023-12-28,Negative,2023
80238,2023-12-28,Negative,2023
80204,2023-12-28,Positive,2023
80219,2023-12-28,Neutral,2023
80234,2023-12-28,Positive,2023
80211,2023-12-28,Neutral,2023
80211,2023-12-28,Positive,2023
80120,2023-12-28,Neutral,2023
80014,2023-12-27,Positive,2023
80002,2023-12-27,Positive,2023
80219,2023-12-27,Positive,2023
80002,2023-12-27,Positive,2023
80211,2023-12-27,Positive,2023
80204,2023-12-27,Neutral,2023
80221,2023-12-27,Neutral,2023
80002,2023-12-27,Neutral,2023
80219,2023-12-27,Neutral,2023
80204,2023-12-27,Positive,2023
80238,2023-12-27,Positive,2023
80219,2023-12-27,Positive,2023
80219,2023-12-27,Positive,2023
80211,2023-12-27,Positive,2023
80016,2023-12-27,Neutral,2023
80221,2023-12-27,Negative,2023
80238,2023-12-27,Positive,2023
80204,2023-12-27,Positive,2023
80016,2023-12-27,Neutral,2023
80016,2023-12-27,Negative,2023
80238,2023-12-27,Positive,2023
80211,2023-12-27,Positive,2023
80238,2023-12-27,Positive,2023
80234,2023-12-27,Positive,2023
80120,2023-12-27,Negative,2023
80120,2023-12-27,Positive,2023
80002,2023-12-27,Neutral,2023
80221,2023-12-27,Positive,2023
80211,2023-12-27,Negative,2023
80238,2023-12-27,Positive,2023
80211,2023-12-27,Negative,2023
80211,2023-12-27,Neutral,2023
80014,2023-12-27,Negative,2023
80002,2023-12-27,Positive,2023
80120,2023-12-27,Negative,2023
80211,2023-12-27,Negative,2023
80211,2023-12-27,Positive,2023
80238,2023-12-27,Positive,2023
80211,2023-12-27,Positive,2023
80219,2023-12-27,Positive,2023
80238,2023-12-27,Negative,2023
80219,2023-12-27,Neutral,2023
80211,2023-12-27,Negative,2023
80221,2023-12-27,Neutral,2023
80234,2023-12-27,Negative,2023
80238,2023-12-27,Negative,2023
80014,2023-12-27,Positive,2023
80234,2023-12-27,Positive,2023
80002,2023-12-27,Positive,2023
80234,2023-12-27,Positive,2023
80016,2023-12-27,Positive,2023
80002,2023-12-26,Positive,2023
80014,2023-12-26,Positive,2023
80016,2023-12-26,Positive,2023
80219,2023-12-26,Negative,2023
80238,2023-12-26,Positive,2023
80016,2023-12-26,Neutral,2023
80120,2023-12-26,Positive,2023
80204,2023-12-26,Positive,2023
80014,2023-12-26,Positive,2023
80016,2023-12-26,Positive,2023
80204,2023-12-26,Positive,2023
80238,2023-12-26,Positive,2023
80219,2023-12-26,Negative,2023
80204,2023-12-26,Positive,2023
80120,2023-12-26,Positive,2023
80211,2023-12-26,Negative,2023
80120,2023-12-26,Positive,2023
80234,2023-12-26,Positive,2023
80234,2023-12-26,Positive,2023
80002,2023-12-26,Positive,2023
80016,2023-12-26,Positive,2023
80120,2023-12-26,Positive,2023
80120,2023-12-26,Positive,2023
80120,2023-12-26,Negative,2023
80219,2023-12-26,Positive,2023
80014,2023-12-26,Positive,2023
80002,2023-12-26,Negative,2023
80120,2023-12-26,Neutral,2023
80002,2023-12-26,Positive,2023
80221,2023-12-26,Negative,2023
80016,2023-12-26,Neutral,2023
80219,2023-12-26,Neutral,2023
80238,2023-12-26,Positive,2023
80211,2023-12-26,Neutral,2023
80204,2023-12-26,Positive,2023
80014,2023-12-26,Positive,2023
80016,2023-12-26,Positive,2023
80002,2023-12-26,Positive,2023
80219,2023-12-26,Negative,2023
80120,2023-12-26,Positive,2023
80221,2023-12-26,Neutral,2023
80120,2023-12-26,Neutral,2023
80221,2023-12-26,Positive,2023
80120,2023-12-26,Positive,2023
80002,2023-12-26,Positive,2023
80204,2023-12-26,Neutral,2023
80002,2023-12-26,Neutral,2023
80221,2023-12-26,Neutral,2023
80238,2023-12-26,Neutral,2023
80238,2023-12-26,Positive,2023
80120,2023-12-26,Positive,2023
80211,2023-12-26,Positive,2023
80221,2023-12-26,Positive,2023
80219,2023-12-26,Positive,2023
80238,2023-12-26,Positive,2023
80014,2023-12-26,Negative,2023
80211,2023-12-26,Positive,2023
80221,2023-12-26,Positive,2023
80219,2023-12-26,Positive,2023
80211,2023-12-26,Negative,2023
80219,2023-12-26,Negative,2023
80221,2023-12-26,Neutral,2023
80120,2023-12-26,Positive,2023
80219,2023-12-26,Neutral,2023
80221,2023-12-26,Positive,2023
80016,2023-12-25,Positive,2023
80238,2023-12-25,Neutral,2023
80014,2023-12-25,Positive,2023
80221,2023-12-25,Neutral,2023
80002,2023-12-25,Neutral,2023
80016,2023-12-25,Neutral,2023
80014,2023-12-25,Positive,2023
80204,2023-12-25,Negative,2023
80219,2023-12-25,Positive,2023
80238,2023-12-25,Negative,2023
80211,2023-12-25,Negative,2023
80002,2023-12-25,Positive,2023
80238,2023-12-25,Positive,2023
80204,2023-12-25,Positive,2023
80120,2023-12-25,Positive,2023
80016,2023-12-25,Positive,2023
80120,2023-12-25,Positive,2023
80234,2023-12-25,Positive,2023
80204,2023-12-25,Positive,2023
80234,2023-12-25,Positive,2023
80211,2023-12-25,Positive,2023
80002,2023-12-25,Positive,2023
80016,2023-12-25,Positive,2023
80016,2023-12-25,Neutral,2023
80211,2023-12-25,Positive,2023
80211,2023-12-25,Positive,2023
80211,2023-12-25,Neutral,2023
80120,2023-12-25,Positive,2023
80120,2023-12-25,Positive,2023
80014,2023-12-25,Positive,2023
80219,2023-12-25,Neutral,2023
80221,2023-12-25,Negative,2023
80211,2023-12-25,Neutral,2023
80016,2023-12-25,Positive,2023
80120,2023-12-25,Positive,2023
80238,2023-12-25,Positive,2023
80120,2023-12-25,Positive,2023
80238,2023-12-25,Neutral,2023
80234,2023-12-25,Positive,2023
80238,2023-12-25,Positive,2023
80014,2023-12-25,Negative,2023
80204,2023-12-25,Positive,2023
80014,2023-12-25,Negative,2023
80219,2023-12-25,Positive,2023
80221,2023-12-25,Positive,2023
80014,2023-12-25,Positive,2023
80120,2023-12-24,Positive,2023
80016,2023-12-24,Negative,2023
80204,2023-12-24,Neutral,2023
80238,2023-12-24,Negative,2023
80120,2023-12-24,Negative,2023
80211,2023-12-24,Positive,2023
80219,2023-12-24,Neutral,2023
80002,2023-12-24,Positive,2023
80221,2023-12-24,Neutral,2023
80002,2023-12-24,Negative,2023
80120,2023-12-24,Positive,2023
80211,2023-12-24,Positive,2023
80211,2023-12-24,Negative,2023
80002,2023-12-24,Negative,2023
80238,2023-12-24,Negative,2023
80211,2023-12-24,Neutral,2023
80204,2023-12-24,Neutral,2023
80238,2023-12-24,Negative,2023
80204,2023-12-24,Positive,2023
80238,2023-12-24,Negative,2023
80219,2023-12-24,Neutral,2023
80016,2023-12-24,Positive,2023
80002,2023-12-24,Positive,2023
80014,2023-12-24,Positive,2023
80219,2023-12-24,Positive,2023
80221,2023-12-24,Negative,2023
80120,2023-12-24,Neutral,2023
80016,2023-12-24,Negative,2023
80219,2023-12-24,Positive,2023
80238,2023-12-24,Positive,2023
80219,2023-12-24,Positive,2023
80219,2023-12-24,Negative,2023
80016,2023-12-24,Positive,2023
80016,2023-12-24,Negative,2023
80219,2023-12-24,Neutral,2023
80238,2023-12-24,Positive,2023
80234,2023-12-24,Negative,2023
80016,2023-12-24,Positive,2023
80219,2023-12-24,Neutral,2023
80014,2023-12-24,Positive,2023
80234,2023-12-24,Positive,2023
80120,2023-12-24,Positive,2023
80120,2023-12-24,Positive,2023
80211,2023-12-24,Positive,2023
80120,2023-12-24,Positive,2023
80016,2023-12-24,Positive,2023
80211,2023-12-24,Positive,2023
80211,2023-12-23,Negative,2023
80234,2023-12-23,Positive,2023
80238,2023-12-23,Neutral,2023
80211,2023-12-23,Negative,2023
80120,2023-12-23,Positive,2023
80221,2023-12-23,Neutral,2023
80238,2023-12-23,Positive,2023
80221,2023-12-23,Negative,2023
80002,2023-12-23,Negative,2023
80016,2023-12-23,Negative,2023
80234,2023-12-23,Negative,2023
80234,2023-12-23,Positive,2023
80016,2023-12-23,Positive,2023
80211,2023-12-23,Negative,2023
80221,2023-12-23,Positive,2023
80014,2023-12-23,Neutral,2023
80120,2023-12-23,Positive,2023
80238,2023-12-23,Neutral,2023
80204,2023-12-23,Positive,2023
80014,2023-12-23,Positive,2023
80221,2023-12-23,Positive,2023
80120,2023-12-23,Positive,2023
80238,2023-12-23,Neutral,2023
80234,2023-12-23,Positive,2023
80234,2023-12-23,Positive,2023
80219,2023-12-23,Positive,2023
80219,2023-12-23,Negative,2023
80219,2023-12-23,Positive,2023
80002,2023-12-23,Negative,2023
80016,2023-12-23,Positive,2023
80120,2023-12-23,Neutral,2023
80204,2023-12-23,Positive,2023
80221,2023-12-23,Negative,2023
80016,2023-12-23,Negative,2023
80014,2023-12-23,Positive,2023
80221,2023-12-23,Neutral,2023
80211,2023-12-23,Positive,2023
80238,2023-12-23,Positive,2023
80204,2023-12-23,Positive,2023
80238,2023-12-23,Positive,2023
80014,2023-12-23,Positive,2023
80016,2023-12-23,Positive,2023
80238,2023-12-23,Neutral,2023
80219,2023-12-23,Neutral,2023
80002,2023-12-23,Positive,2023
80221,2023-12-23,Positive,2023
80238,2023-12-22,Positive,2023
80234,2023-12-22,Negative,2023
80120,2023-12-22,Positive,2023
80014,2023-12-22,Positive,2023
80221,2023-12-22,Positive,2023
80002,2023-12-22,Positive,2023
80014,2023-12-22,Neutral,2023
80016,2023-12-22,Negative,2023
80120,2023-12-22,Neutral,2023
80002,2023-12-22,Neutral,2023
80002,2023-12-22,Negative,2023
80014,2023-12-22,Positive,2023
80234,2023-12-22,Negative,2023
80238,2023-12-22,Positive,2023
80211,2023-12-22,Neutral,2023
80221,2023-12-22,Neutral,2023
80238,2023-12-22,Positive,2023
80221,2023-12-22,Positive,2023
80204,2023-12-22,Positive,2023
80238,2023-12-22,Positive,2023
80234,2023-12-22,Neutral,2023
80211,2023-12-22,Negative,2023
80016,2023-12-22,Positive,2023
80014,2023-12-22,Neutral,2023
80016,2023-12-22,Neutral,2023
80016,2023-12-22,Positive,2023
80016,2023-12-22,Positive,2023
80221,2023-12-22,Neutral,2023
80120,2023-12-22,Neutral,2023
80234,2023-12-22,Positive,2023
80219,2023-12-22,Negative,2023
80014,2023-12-22,Neutral,2023
80016,2023-12-22,Positive,2023
80120,2023-12-22,Positive,2023
80204,2023-12-22,Positive,2023
80238,2023-12-22,Negative,2023
80002,2023-12-22,Negative,2023
80002,2023-12-22,Neutral,2023
80221,2023-12-22,Positive,2023
80219,2023-12-22,Positive,2023
80016,2023-12-22,Positive,2023
80204,2023-12-22,Negative,2023
80014,2023-12-22,Neutral,2023
80014,2023-12-22,Negative,2023
80219,2023-12-22,Positive,2023
80204,2023-12-22,Neutral,2023
80221,2023-12-22,Positive,2023
80120,2023-12-22,Negative,2023
80234,2023-12-22,Positive,2023
80219,2023-12-22,Positive,2023
80211,2023-12-22,Positive,2023
80014,2023-12-22,Negative,2023
80120,2023-12-22,Positive,2023
80204,2023-12-22,Positive,2023
80016,2023-12-22,Positive,2023
80221,2023-12-22,Positive,2023
80219,2023-12-21,Positive,2023
80234,2023-12-21,Positive,2023
80016,2023-12-21,Neutral,2023
80204,2023-12-21,Neutral,2023
80234,2023-12-21,Positive,2023
80120,2023-12-21,Negative,2023
80234,2023-12-21,Positive,2023
80234,2023-12-21,Positive,2023
80002,2023-12-21,Negative,2023
80014,2023-12-21,Negative,2023
80120,2023-12-21,Positive,2023
80238,2023-12-21,Positive,2023
80204,2023-12-21,Neutral,2023
80002,2023-12-21,Positive,2023
80002,2023-12-21,Positive,2023
80221,2023-12-21,Positive,2023
80002,2023-12-21,Neutral,2023
80238,2023-12-21,Negative,2023
80238,2023-12-21,Positive,2023
80204,2023-12-21,Positive,2023
80204,2023-12-21,Neutral,2023
80238,2023-12-21,Neutral,2023
80204,2023-12-21,Negative,2023
80120,2023-12-21,Neutral,2023
80120,2023-12-21,Negative,2023
80014,2023-12-21,Positive,2023
80211,2023-12-21,Positive,2023
80221,2023-12-21,Positive,2023
80238,2023-12-21,Positive,2023
80238,2023-12-21,Negative,2023
80204,2023-12-21,Neutral,2023
80014,2023-12-21,Negative,2023
80219,2023-12-21,Positive,2023
80238,2023-12-21,Neutral,2023
80016,2023-12-21,Positive,2023
80016,2023-12-21,Negative,2023
80204,2023-12-21,Neutral,2023
80120,2023-12-21,Positive,2023
80211,2023-12-21,Neutral,2023
80016,2023-12-21,Positive,2023
80234,2023-12-21,Positive,2023
80014,2023-12-21,Positive,2023
80238,2023-12-21,Positive,2023
80211,2023-12-21,Neutral,2023
80204,2023-12-21,Negative,2023
80221,2023-12-21,Positive,2023
80016,2023-12-21,Neutral,2023
80016,2023-12-21,Neutral,2023
80211,2023-12-21,Positive,2023
80238,2023-12-21,Positive,2023
80002,2023-12-21,Positive,2023
80002,2023-12-21,Neutral,2023
80211,2023-12-21,Negative,2023
80234,2023-12-20,Positive,2023
80014,2023-12-20,Neutral,2023
80204,2023-12-20,Negative,2023
80234,2023-12-20,Negative,2023
80219,2023-12-20,Positive,2023
80211,2023-12-20,Positive,2023
80221,2023-12-20,Negative,2023
80120,2023-12-20,Positive,2023
80238,2023-12-20,Positive,2023
80219,2023-12-20,Positive,2023
80120,2023-12-20,Neutral,2023
80002,2023-12-20,Negative,2023
80234,2023-12-20,Neutral,2023
80238,2023-12-20,Positive,2023
80234,2023-12-20,Negative,2023
80234,2023-12-20,Positive,2023
80238,2023-12-20,Positive,2023
80016,2023-12-20,Positive,2023
80211,2023-12-20,Neutral,2023
80120,2023-12-20,Neutral,2023
80234,2023-12-20,Neutral,2023
80014,2023-12-20,Neutral,2023
80211,2023-12-20,Negative,2023
80120,2023-12-20,Positive,2023
80238,2023-12-20,Negative,2023
80234,2023-12-20,Neutral,2023
80014,2023-12-20,Neutral,2023
80014,2023-12-20,Positive,2023
80219,2023-12-20,Positive,2023
80219,2023-12-20,Positive,2023
80204,2023-12-20,Negative,2023
80219,2023-12-20,Positive,2023
80016,2023-12-20,Negative,2023
80014,2023-12-20,Positive,2023
80014,2023-12-20,Positive,2023
80120,2023-12-20,Positive,2023
80234,2023-12-20,Positive,2023
80016,2023-12-20,Neutral,2023
80221,2023-12-20,Negative,2023
80204,2023-12-20,Neutral,2023
80204,2023-12-20,Neutral,2023
80014,2023-12-20,Positive,2023
80014,2023-12-20,Negative,2023
80238,2023-12-20,Positive,2023
80204,2023-12-20,Neutral,2023
80014,2023-12-20,Negative,2023
80238,2023-12-20,Positive,2023
80204,2023-12-20,Negative,2023
80204,2023-12-20,Positive,2023
80211,2023-12-20,Neutral,2023
80014,2023-12-20,Neutral,2023
80016,2023-12-20,Positive,2023
80221,2023-12-20,Positive,2023
80234,2023-12-20,Positive,2023
80219,2023-12-20,Negative,2023
80234,2023-12-20,Positive,2023
80238,2023-12-20,Negative,2023
80120,2023-12-19,Negative,2023
80221,2023-12-19,Positive,2023
80002,2023-12-19,Negative,2023
80221,2023-12-19,Positive,2023
80221,2023-12-19,Negative,2023
80211,2023-12-19,Positive,2023
80234,2023-12-19,Negative,2023
80221,2023-12-19,Positive,2023
80016,2023-12-19,Positive,2023
80120,2023-12-19,Positive,2023
80238,2023-12-19,Negative,2023
80014,2023-12-19,Neutral,2023
80016,2023-12-19,Positive,2023
80014,2023-12-19,Negative,2023
80238,2023-12-19,Positive,2023
80221,2023-12-19,Positive,2023
80219,2023-12-19,Positive,2023
80120,2023-12-19,Negative,2023
80120,2023-12-19,Neutral,2023
80234,2023-12-19,Positive,2023
80204,2023-12-19,Negative,2023
80211,2023-12-19,Negative,2023
80002,2023-12-19,Negative,2023
80238,2023-12-19,Positive,2023
80211,2023-12-19,Negative,2023
80120,2023-12-19,Neutral,2023
80002,2023-12-19,Positive,2023
80219,2023-12-19,Neutral,2023
80016,2023-12-19,Positive,2023
80014,2023-12-19,Neutral,2023
80120,2023-12-19,Positive,2023
80002,2023-12-19,Positive,2023
80219,2023-12-19,Positive,2023
80238,2023-12-19,Neutral,2023
80221,2023-12-19,Negative,2023
80238,2023-12-19,Positive,2023
80219,2023-12-19,Neutral,2023
80204,2023-12-19,Negative,2023
80016,2023-12-19,Neutral,2023
80221,2023-12-19,Positive,2023
80221,2023-12-19,Negative,2023
80120,2023-12-19,Positive,2023
80211,2023-12-19,Positive,2023
80016,2023-12-19,Positive,2023
80238,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80002,2023-12-18,Positive,2023
80221,2023-12-18,Positive,2023
80120,2023-12-18,Neutral,2023
80120,2023-12-18,Negative,2023
80204,2023-12-18,Positive,2023
80221,2023-12-18,Negative,2023
80120,2023-12-18,Positive,2023
80211,2023-12-18,Neutral,2023
80221,2023-12-18,Positive,2023
80234,2023-12-18,Neutral,2023
80238,2023-12-18,Neutral,2023
80014,2023-12-18,Negative,2023
80234,2023-12-18,Negative,2023
80219,2023-12-18,Positive,2023
80120,2023-12-18,Neutral,2023
80016,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80120,2023-12-18,Neutral,2023
80002,2023-12-18,Negative,2023
80002,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80238,2023-12-18,Neutral,2023
80002,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80211,2023-12-18,Negative,2023
80204,2023-12-18,Positive,2023
80120,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80238,2023-12-18,Neutral,2023
80234,2023-12-18,Positive,2023
80234,2023-12-18,Positive,2023
80014,2023-12-18,Positive,2023
80120,2023-12-18,Positive,2023
80221,2023-12-18,Positive,2023
80219,2023-12-18,Positive,2023
80221,2023-12-18,Negative,2023
80014,2023-12-18,Positive,2023
80221,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80211,2023-12-18,Positive,2023
80221,2023-12-18,Negative,2023
80221,2023-12-18,Neutral,2023
80120,2023-12-18,Neutral,2023
80238,2023-12-18,Positive,2023
80016,2023-12-18,Positive,2023
80221,2023-12-18,Positive,2023
80211,2023-12-18,Positive,2023
80219,2023-12-18,Positive,2023
80211,2023-12-18,Neutral,2023
80016,2023-12-18,Positive,2023
80002,2023-12-18,Positive,2023
80204,2023-12-18,Negative,2023
80204,2023-12-18,Positive,2023
80211,2023-12-18,Neutral,2023
80211,2023-12-18,Positive,2023
80238,2023-12-17,Positive,2023
80120,2023-12-17,Negative,2023
80120,2023-12-17,Positive,2023
80238,2023-12-17,Negative,2023
80120,2023-12-17,Positive,2023
80002,2023-12-17,Neutral,2023
80238,2023-12-17,Positive,2023
80014,2023-12-17,Positive,2023
80219,2023-12-17,Negative,2023
80234,2023-12-17,Negative,2023
80120,2023-12-17,Positive,2023
80120,2023-12-17,Negative,2023
80234,2023-12-17,Negative,2023
80238,2023-12-17,Positive,2023
80014,2023-12-17,Neutral,2023
80234,2023-12-17,Positive,2023
80219,2023-12-17,Neutral,2023
80120,2023-12-17,Negative,2023
80120,2023-12-17,Positive,2023
80234,2023-12-17,Negative,2023
80120,2023-12-17,Positive,2023
80238,2023-12-17,Negative,2023
80014,2023-12-17,Positive,2023
80234,2023-12-17,Neutral,2023
80211,2023-12-17,Positive,2023
80120,2023-12-17,Positive,2023
80002,2023-12-17,Neutral,2023
80219,2023-12-17,Positive,2023
80016,2023-12-17,Positive,2023
80219,2023-12-17,Positive,2023
80002,2023-12-17,Positive,2023
80120,2023-12-17,Negative,2023
80016,2023-12-17,Positive,2023
80211,2023-12-17,Positive,2023
80002,2023-12-17,Neutral,2023
80120,2023-12-17,Neutral,2023
80221,2023-12-17,Negative,2023
80120,2023-12-17,Positive,2023
80211,2023-12-17,Neutral,2023
80120,2023-12-17,Positive,2023
80211,2023-12-17,Positive,2023
80204,2023-12-17,Positive,2023
80204,2023-12-17,Positive,2023
80204,2023-12-17,Positive,2023
80221,2023-12-17,Positive,2023
80204,2023-12-17,Neutral,2023
80014,2023-12-17,Neutral,2023
80234,2023-12-17,Positive,2023
80211,2023-12-17,Positive,2023
80204,2023-12-16,Positive,2023
80016,2023-12-16,Neutral,2023
80204,2023-12-16,Neutral,2023
80234,2023-12-16,Neutral,2023
80204,2023-12-16,Negative,2023
80211,2023-12-16,Neutral,2023
80238,2023-12-16,Positive,2023
80002,2023-12-16,Neutral,2023
80211,2023-12-16,Positive,2023
80221,2023-12-16,Neutral,2023
